Constituency,Party of incumbent before election,Party of incumbent before election2,Member returned,Party of incumbent after election,Party of incumbent after election2,Notes
South Cambridgeshire,,Liberal Democrats,Anthony Browne,,Conservative,"Previous incumbent, Heidi Allen, did not stand"
South Derbyshire,,Conservative,Heather Wheeler,,Conservative,Seat held
South Dorset,,Conservative,Richard Drax,,Conservative,Seat held
South Down,,Sinn Féin,Chris Hazzard,,Sinn Féin,Seat held
South East Cambridgeshire,,Conservative,Lucy Frazer,,Conservative,Seat held
South East Cornwall,,Conservative,Sheryll Murray,,Conservative,Seat held
South Holland and The Deepings,,Conservative,John Hayes,,Conservative,Seat held
South Leicestershire,,Conservative,Alberto Costa,,Conservative,Seat held
South Norfolk,,Conservative,Richard Bacon,,Conservative,Seat held
South Northamptonshire,,Conservative,Andrea Leadsom,,Conservative,Seat held
South Ribble,,Conservative,Katherine Fletcher,,Conservative,"Previous incumbent, Seema Kennedy, did not stand"
South Shields,,Labour,Emma Lewell-Buck,,Labour,Seat held
South Staffordshire,,Conservative,Gavin Williamson,,Conservative,Seat held
South Suffolk,,Conservative,James Cartlidge,,Conservative,Seat held
South Swindon,,Conservative,Robert Buckland,,Conservative,Seat held
South Thanet,,Conservative,Craig Mackinlay,,Conservative,Seat held
South West Bedfordshire,,Conservative,Andrew Selous,,Conservative,Seat held
South West Devon,,Conservative,Gary Streeter,,Conservative,Seat held
South West Hertfordshire,,Independent,Gagan Mohindra,,Conservative,"Defeated incumbent, David Gauke"
South West Norfolk,,Conservative,Elizabeth Truss,,Conservative,Seat held
South West Surrey,,Conservative,Jeremy Hunt,,Conservative,Seat held
South West Wiltshire,,Conservative,Andrew Murrison,,Conservative,Seat held
Southampton Itchen,,Conservative,Royston Smith,,Conservative,Seat held
Southampton Test,,Labour,Alan Whitehead,,Labour,Seat held
Southend West,,Conservative,David Amess,,Conservative,Seat held
Southport,,Conservative,Damien Moore,,Conservative,Seat held
Spelthorne,,Conservative,Kwasi Kwarteng,,Conservative,Seat held
St Albans,,Conservative,Daisy Cooper,,Liberal Democrats,"Defeated incumbent, Anne Main"
St Austell and Newquay,,Conservative,Steve Double,,Conservative,Seat held
St Helens North,,Labour,Conor McGinn,,Labour,Seat held
St Helens South and Whiston,,Labour,Marie Rimmer,,Labour,Seat held
St Ives,,Conservative,Derek Thomas,,Conservative,Seat held
Stafford,,Conservative,Theo Clarke,,Conservative,"Previous incumbent, Jeremy Lefroy, did not stand"
Staffordshire Moorlands,,Conservative,Karen Bradley,,Conservative,Seat held
Stalybridge and Hyde,,Labour Co-operative,Jonathan Reynolds,,Labour Co-operative,Seat held
Stevenage,,Conservative,Stephen McPartland,,Conservative,Seat held
Stirling,,Conservative,Alyn Smith,,Scottish National,"Defeated incumbent, Stephen Kerr"
Stockport,,Change UK,Navendu Mishra,,Labour,"Previous incumbent, Ann Coffey, did not stand"
Stockton North,,Labour,Alex Cunningham,,Labour,Seat held
Stockton South,,Labour,Matt Vickers,,Conservative,"Defeated incumbent, Paul Williams"
Stoke-on-Trent Central,,Labour Co-operative,Jo Gideon,,Conservative,"Defeated incumbent, Gareth Snell"
Stoke-on-Trent North,,Labour,Jonathan Gullis,,Conservative,"Defeated incumbent, Ruth Smeeth"
Stoke-on-Trent South,,Conservative,Jack Brereton,,Conservative,Seat held
Stone,,Conservative,Bill Cash,,Conservative,Seat held
Stourbridge,,Conservative,Suzanne Webb,,Conservative,"Previous incumbent, Margot James, did not stand"
Strangford,,DUP,Jim Shannon,,DUP,Seat held
Stratford-on-Avon,,Conservative,Nadhim Zahawi,,Conservative,Seat held
Streatham,,Liberal Democrats,Bell Ribeiro-Addy,,Labour,"Previous incumbent, Chuka Umunna, did not stand"
Stretford and Urmston,,Labour,Kate Green,,Labour,Seat held
Stroud,,Labour Co-operative,Siobhan Baillie,,Conservative,"Defeated incumbent, David Drew"
Suffolk Coastal,,Conservative,Therese Coffey,,Conservative,Seat held
Sunderland Central,,Labour,Julie Elliott,,Labour,Seat held
Surrey Heath,,Conservative,Michael Gove,,Conservative,Seat held
Sutton and Cheam,,Conservative,Paul Scully,,Conservative,Seat held
Sutton Coldfield,,Conservative,Andrew Mitchell,,Conservative,Seat held
Swansea East,,Labour,Carolyn Harris,,Labour,Seat held
Swansea West,,Labour Co-operative,Geraint Davies,,Labour Co-operative,Seat held
Tamworth,,Conservative,Christopher Pincher,,Conservative,Seat held
Tatton,,Conservative,Esther McVey,,Conservative,Seat held
Taunton Deane,,Conservative,Rebecca Pow,,Conservative,Seat held
Telford,,Conservative,Lucy Allan,,Conservative,Seat held
Tewkesbury,,Conservative,Laurence Robertson,,Conservative,Seat held
The Cotswolds,,Conservative,Geoffrey Clifton-Brown,,Conservative,Seat held
The Wrekin,,Conservative,Mark Pritchard,,Conservative,Seat held
Thirsk and Malton,,Conservative,Kevin Hollinrake,,Conservative,Seat held
Thornbury and Yate,,Conservative,Luke Hall,,Conservative,Seat held
Thurrock,,Conservative,Jackie Doyle-Price,,Conservative,Seat held
Tiverton and Honiton,,Conservative,Neil Parish,,Conservative,Seat held
Tonbridge and Malling,,Conservative,Thomas Tugendhat,,Conservative,Seat held
Tooting,,Labour,Rosena Allin-Khan,,Labour,Seat held
Torbay,,Conservative,Kevin Foster,,Conservative,Seat held
Torfaen,,Labour,Nick Thomas-Symonds,,Labour,Seat held
Torridge and West Devon,,Conservative,Geoffrey Cox,,Conservative,Seat held
Totnes,,Liberal Democrats,Anthony Mangnall,,Conservative,"Defeated incumbent, Sarah Wollaston"
Tottenham,,Labour,David Lammy,,Labour,Seat held
Truro and Falmouth,,Conservative,Cherilyn Mackrory,,Conservative,"Previous incumbent, Sarah Newton, did not stand"
Tunbridge Wells,,Conservative,Greg Clark,,Conservative,Seat held
Twickenham,,Liberal Democrats,Munira Wilson,,Liberal Democrats,"Previous incumbent, Vince Cable, did not stand"
Tynemouth,,Labour,Alan Campbell,,Labour,Seat held
Upper Bann,,DUP,Carla Lockhart,,DUP,"Previous incumbent, David Simpson, did not stand"
Uxbridge and South Ruislip,,Conservative,Boris Johnson,,Conservative,Seat held
Vale of Clwyd,,Labour,James Davies,,Conservative,"Defeated incumbent, Chris Ruane"
Vale of Glamorgan,,Conservative,Alun Cairns,,Conservative,Seat held
Vauxhall,,Labour,Florence Eshalomi,,Labour Co-operative,"Previous incumbent, Kate Hoey, did not stand"
Wakefield,,Labour,Imran Ahmad-Khan,,Conservative,"Defeated incumbent, Mary Creagh"
Wallasey,,Labour,Angela Eagle,,Labour,Seat held
Walsall North,,Conservative,Eddie Hughes,,Conservative,Seat held
Walsall South,,Labour,Valerie Vaz,,Labour,Seat held
Walthamstow,,Labour Co-operative,Stella Creasy,,Labour Co-operative,Seat held
Wansbeck,,Labour,Ian Lavery,,Labour,Seat held
Wantage,,Conservative,David Johnston,,Conservative,"Previous incumbent, Ed Vaizey, did not stand"
Warley,,Labour,John Spellar,,Labour,Seat held
Warrington North,,Labour,Charlotte Nichols,,Labour,"Previous incumbent, Helen Jones, did not stand"
Warrington South,,Labour,Andy Carter,,Conservative,"Defeated incumbent, Faisal Rashid"
Warwick and Leamington,,Labour,Matt Western,,Labour,Seat held
Washington and Sunderland West,,Labour,Sharon Hodgson,,Labour,Seat held
Watford,,Conservative,Dean Russell,,Conservative,"Previous incumbent, Richard Harrington, did not stand"
Waveney,,Conservative,Peter Aldous,,Conservative,Seat held
Wealden,,Conservative,Nusrat Ghani,,Conservative,Seat held
Weaver Vale,,Labour,Mike Amesbury,,Labour,Seat held
Wellingborough,,Conservative,Peter Bone,,Conservative,Seat held
Wells,,Conservative,James Heappey,,Conservative,Seat held
Welwyn Hatfield,,Conservative,Grant Shapps,,Conservative,Seat held
Wentworth and Dearne,,Labour,John Healey,,Labour,Seat held
West Aberdeenshire and Kincardine,,Conservative,Andrew Bowie,,Conservative,Seat held
West Bromwich East,,Labour,Nicola Richards,,Conservative,"Previous incumbent, Tom Watson, did not stand"
West Bromwich West,,Labour Co-operative,Shaun Bailey,,Conservative,"Previous incumbent, Adrian Bailey, did not stand"
West Dorset,,Independent,Chris Loder,,Conservative,"Previous incumbent, Oliver Letwin, did not stand"
West Dunbartonshire,,Scottish National,Martin Docherty-Hughes,,Scottish National,Seat held
West Ham,,Labour,Lyn Brown,,Labour,Seat held
West Lancashire,,Labour,Rosie Cooper,,Labour,Seat held
West Suffolk,,Conservative,Matthew Hancock,,Conservative,Seat held
West Tyrone,,Sinn Féin,Órfhlaith Begley,,Sinn Féin,Seat held
West Worcestershire,,Conservative,Harriett Baldwin,,Conservative,Seat held
Westminster North,,Labour,Karen Buck,,Labour,Seat held
Westmorland and Lonsdale,,Liberal Democrats,Tim Farron,,Liberal Democrats,Seat held
Weston-Super-Mare,,Conservative,John Penrose,,Conservative,Seat held
Wigan,,Labour,Lisa Nandy,,Labour,Seat held
Wimbledon,,Conservative,Stephen Hammond,,Conservative,Seat held
Winchester,,Conservative,Steve Brine,,Conservative,Seat held
Windsor,,Conservative,Adam Afriyie,,Conservative,Seat held
